,name,rating,reviews,domain,location,years_old,employee_strength,tags,about
138,Bandhan Bank,3.8,1.2k,Public,Pune + 242 more,12 years old,10000+ employees,"Banking/Insurance/Accounting, Financial Services, Fortune500","Bandhan Bank Limited was incorporated on 23rd Dec, 2014 as a wholly-owned subsidiary of Bandhan Financial Holdings Limited, owned by Bandhan Financial Services Limited (BFSL), the largest micro finance organization in India. Its public shareholders include International Finance Corporation (IFC), SIDBI, Caladium Investment Pte. Ltd. (a company managed by GIC Special Investments Private Limited), Bandhan Employees Welfare Trust & a few individuals. Bandhan Bank is driven by a constant desire to serve better. The Kolkata-headquartered bank has two divisions - micro banking & general banking, offering a suite of retail financial solutions, including a variety of savings & loan products. Bandhan Bank seeks to offer world-class banking products & services to urban, semi-urban & rural customers alike. 
It is a bank for all but the focus remains unchanged to meet the financial needs of people who are overlooked by the formal banking system & create better education, health care & self-employment opportunities. In sync with the philosophy of ‘Aapka Bhala, Sabki Bhalai’ and keeping financial inclusion at the heart of it, Bandhan is committed to provide a host of products & services, competitively at par with India’s top private & state-owned banks.
Simply put, when you choose to bank with Bandhan, you are choosing to be instrumental in the nation’s larger growth story."
139,AU Small Finance Bank,3.8,1.2k,Private,Jaipur + 160 more,24 years old,10000+ employees,"Banking/Insurance/Accounting, Fortune500","We are redefining what a bank should be. We enable a convenient banking experience. We uncomplicate banking for you. The dream started two decades ago by Mr. Sanjay Agarwal, a merit holder Chartered Accountant and a first generation entrepreneur, along with his proficient team. 
Together, the dexterous team embarked on a journey of excellence while enriching lives along the way. What started off as a dream to be one of the fastest growing NBFCs, AU Financiers is now AU SMALL FINANCE BANK.
Throughout our journey we have focused on solutions, completely based on our customers’ needs."
140,iEnergizer,3.6,1.2k,Private,Noida + 8 more,20 years old,10000+ employees,"BPO/KPO, IT/ITES, MNC","iEnergizer is a leading Business Process Outsourcing provider (“BPO”) of customer management solutions dedicated to delivering performance while actively supporting and advocating our client’s brand. iEnergizer helps our Partners acquire, support, retain, and grow their markets by providing complete life-cycle customer support services. From sales to customer care, technical support and back-office services, iEnergizer provides client-centric solutions to a partner base that includes a number of Fortune 500 companies operating within different industry verticals including: Healthcare Payers and Providers, Banking, Financial Services, Insurance, Gaming, Publishing and Legal. 

We don’t consider ourselves simply an outsourcing provider. We are a trusted partner who acts as an extension of our clients'​ operations. iEnergizer provides our clients with high-quality service, while lowering operating costs in an innovative atmosphere that focuses on an exemplary customer experience, combined with continuous improvements in key business impacts. Being a mid-sized company enables us to offer clients the best of both worlds—the resources to provide a scalable environment, combined with an infrastructure that allows us to remain nimble and customer-focused."
141,Megha Engineering and In...,4.3,1.2k,Private,Hyderabad + 94 more,31 years old,5001-10000 employees,"Construction, Engineering, Conglomerate","Megha Engineering & Infrastructures Limited (MEIL) is a major infrastructure company headquartered in Hyderabad, India. The company was established in 1989 as a small fabrication unit. In due course of time, the unit made a name for itself in the manufacturing and engineering sector."
142,Hetero Drugs,4.0,1.2k,Private,Hyderabad + 15 more,27 years old,10000+ employees,"Healthcare/Pharma, Research & Development, MNC","Hetero is one of India’s leading generic pharmaceutical companies and is one of the world’s largest producer of anti-retroviral drugs for the treatment of HIV/AIDS. With more than 20 years of expertise in the pharmaceutical industry, Hetero’s strategic business areas include APIs, generics and biosimilars. 
Hetero also offers custom pharmaceutical services to its partners around the world. The company is recognized for its strengths in Research and Development, manufacturing and commercialization of a wide range of products.  
Hetero has more than 25 state-of-the-art manufacturing facilities strategically located worldwide. 
Majority of our facilities have been successfully audited and approved by stringent regulatory authorities like US FDA, EU, TGA-Australia, MCC-South Africa and others. Our portfolio includes more than 200 products, encompassing major therapeutic categories such as HIV/AIDS, Oncology, Cardiovascular, Neurology, Hepatitis, etc"
143,Honda,4.2,1.2k,Private,Tokyo + 120 more,72 years old,10000+ employees,"Automobile, Manufacturing, Transportation, Fortune500, Conglomerate","From commuter models loved all over the world, to fun-to-ride dynamic sports models, Honda manufactures a wide range of motorcycles that provide the convenience and pleasure of riding to customers worldwide.

In October 2017, the Super Cub, the world’s most loved, ultra long-selling commuter model, reached an accumulated production of 100 million units. In 2018, Honda released several unique models, including a completely revamped Gold Wing Tour flagship tourer, and a new generation CB series, the CB1000R, CB250R and CB125R. Honda leads the motorcycle market, continuing to pursue even more joy of mobility."
144,JLL,4.3,1.2k,Private,Illinois + 41 more,23 years old,10000+ employees,"Real Estate, MNC","We’re a world leader in real estate services, powered by an entrepreneurial spirit. We want the most ambitious clients to work with us, and the most ambitious people to work for us. It’s as simple as that.

We buy, build, occupy and invest in a variety of assets including industrial, commercial, retail, residential and hotel real estate. From tech startups to global firms, our clients span industries including banking, energy, healthcare, law, life sciences, manufacturing and technology."
145,Equitas Small Finance Ba...,3.8,1.1k,Private,Chennai + 205 more,13 years old,10000+ employees,"Banking/Insurance/Accounting, Financial Services","Equitas Small Finance Bank is a New Age Bank that gives children, youth, families and business people across India a new way to bank. In our time as a micro finance company, we silently went about enabling livelihoods and elevating lives. Today, as a small finance bank, we are also going about changing the very way banking is imagined, delivered and experienced - with TRUST being the key driver. Come along on this fun ride."
146,KPMG,3.7,1.1k,Partnership,Amstelveen + 29 more,33 years old,10000+ employees,"Banking/Insurance/Accounting, Consulting, Financial Services, MNC","Through helping other organizations mitigate risks and grasp opportunities, we can drive positive, sustainable change for clients, our people and society at large.

KPMG member firms operate in 153 countries, collectively employing more than 207,000 people, serving the needs of business, governments, public-sector agencies, not-for-profits and through member firms' audit and assurance practices, the capital markets. KPMG is committed to quality and service excellence in all that we do, bringing our best to clients and earning the public's trust through our actions and behaviours both professionally and personally.

We lead with a commitment to quality and consistency across our global network, bringing a passion for client success and a purpose to serve and improve the communities in which member firms operate. In a world where rapid change and unprecedented disruption are the new normal, we inspire confidence and empower change in all we do."
147,Thermax,4.2,1.1k,Public,Pune + 73 more,54 years old,10000+ employees,"Machinery / Equipment, Manufacturing, Electronics, Fortune500, MNC","Thermax’s energy efficient and eco-friendly technologies offer reliable business-to-business partnerships to respond to this critical challenge. They provide the competitive edge to your enterprise to make its mark with superior offerings and community goodwill. 

Thermax Group is an INR 6,123 (876 million US$) crore engineering company providing solutions in the areas of energy and environment.

Thermax’s solutions reach clients in 86 countries across Asia Pacific, Africa, Middle East, Europe, CIS countries, USA and South America. 

We are headquartered in Pune, India and operate globally through 27 International offices and 14 manufacturing facilities - 8 of which are in India and 6 overseas. 

Operating on a wide range of fuels, including biomass and waste from industrial processes, Thermax heating systems help customers achieve higher levels of energy efficiency. 

An established player in captive power plants, Thermax also builds utility power plants.

Through its water and waste management solutions, the company supports industries and civic bodies to reduce pollution, recycle resources and to generate revenue from waste."
148,Huawei Technologies,3.6,1.1k,Private,Shenzhen + 76 more,33 years old,10000+ employees,"Engineering, Manufacturing, MNC","Founded in 1987, Huawei is a leading global provider of information and communications technology (ICT) infrastructure and smart devices. We are committed to bringing digital to every person, home and organization for a fully connected, intelligent world. We have nearly 188,000 employees, and we operate in more than 170 countries and regions, serving more than three billion people around the world.

Huawei's end-to-end portfolio of products, solutions and services are both competitive and secure. Through open collaboration with ecosystem partners, we create lasting value for our customers, working to empower people, enrich home life, and inspire innovation in organizations of all shapes and sizes. At Huawei, innovation focuses on customer needs. We invest heavily in basic research, concentrating on technological breakthroughs that drive the world forward."
149,PepsiCo,4.4,1.1k,Private,New York + 164 more,122 years old,10000+ employees,"Food & Beverages, Manufacturing, MNC","In 1965, Donald Kendall, the CEO of Pepsi-Cola, and Herman Lay, the CEO of Frito-Lay, recognized what they called “a marriage made in heaven,” a single company delivering perfectly-salty snacks served alongside the best cola on earth. Their vision led to what quickly became one of the world's leading food and beverage companies: PepsiCo.

For more than 50 years, as tastes, trends and lifestyles have changed, PepsiCo has evolved with them. Our willingness to adapt and grow has transformed our snack and soda company into a collection of global brands including Pepsi and Quaker, Gatorade and Tropicana, Frito-Lay and beyond. Today, PepsiCo is one of the world’s most-respected companies with products sold in more than 200 countries and territories and 22 brands that generate more than $1 billion each in estimated annual retail sales.

PepsiCo is also celebrated for its commitment to doing business the right way, integrating Purpose into our business strategy. In 2019, we adopted a new vision: to Be the Global Leader in Convenient Foods and Beverages by Winning with Purpose. Winning with Purpose is the next chapter in our purpose agenda and conveys our belief that sustainability can be an even greater contributor to our success in the marketplace."
150,Cgi Group,3.9,1.1k,Private,Montreal + 7 more,44 years old,10000+ employees,"Consulting, IT/ITES, MNC","CGI is one of the few end-to-end consulting firms with the scale, reach, capabilities and commitment to meet clients’ enterprise digital transformation needs. Our 77,500 consultants and professionals work side-by-side with clients in 10 industries across more than 400 locations worldwide. We draw upon our global capabilities to help clients identify, develop, implement and operate effective strategies to meet evolving customer and citizen expectations.

Founded in 1976, our continuous growth is a testament to our strong client partnerships."
151,HCL Infosystems,3.9,1.1k,Public,Noida + 91 more,44 years old,10000+ employees,"Computer Software, IT/ITES","HCL Infosystems handles IT from A to Z. The company manufactures and distributes a wide array of technology products, including PCs, servers, data storage and networking equipment, printing and imaging systems, and software. It sells both its own lines and third-party products. HCL also provides services that include system integration, facilities management, and managed services. It markets to consumers through its Digilife stores and other retailers. The company sells to enterprise clients in such industries as government, financial services, and education. HCL Infosystems' sister company, HCL Technologies, provides offshore IT services."
152,Schneider Electric,4.2,1.1k,Private,Rueil-Malmaison + 47 more,184 years old,10000+ employees,"Machinery / Equipment, Manufacturing, Electronics","At Schneider, we believe access to energy and digital is a basic human right. We empower all to make the most of their energy and resources, ensuring Life Is On everywhere, for everyone, at every moment. 

We provide energy and automation digital solutions for efficiency and sustainability. We combine world-leading energy technologies, real-time automation, software and services into integrated solutions for Homes, Buildings, Data Centres, Infrastructure and Industries. 

We are committed to unleashing the infinite possibilities of an open, global, innovative community that is passionate about our Meaningful Purpose, Inclusive and Empowered values."
153,Titan Company,4.4,1.1k,Public,Bangalore + 89 more,36 years old,5001-10000 employees,"Consumer goods, Retail, Fortune500","The Titan Company Limited (Titan) Journey began with small but confident steps in 1984 as a joint venture between the TATA Group and Tamil Nadu Industrial Development Corporation (TIDCO). Started with an objective to create a Titan watch for everyone has now grown to be the fifth largest integrated watch manufacturer in the world which was only the beginning of a success story.
Titan Company Limited (Titan), a joint venture between the Tata Group and the Tamil Nadu Industrial Development Corporation (TIDCO), commenced its operations in 1984 under the name Titan Watches Limited. Titan is the fifth largest integrated own brand watch manufacturer in the world. Over the last three decades, Titan has expanded into underpenetrated markets and created lifestyle brands across different product categories. Titan is widely known for transforming the watch and jewellery industry in India and for shaping India's retail market by pioneering experiential retail."
154,DTDC Express,4.0,1.1k,Private,Bangalore + 138 more,30 years old,10000+ employees,Logistics/Shipping,"Established in 1990 and headquartered at Bangalore, DTDC has 7 Zonal offices, 20 strategically located Regional Offices and over 430 operating facilities spread across India. DTDC has now embarked upon its journey of transforming its identity from an Express Document Player to an Integrated Parcels driven business through its strategic partnership with Geopost's DPD group - Europe's second largest Parcels Delivery player. The brand name is now being re-christened to DTDC Express Limited as the company focuses to enhance their expertise in the logistics sector under their Vision 2020 program.The strategy behind the repositioning of the brand is to project DTDC as a complete express logistics player that delivers significant value in the markets that it operates in across the globe. DTDC Express Limited has its presence in more than 500 district headquarters through its large network of more than 10500 franchisees and extends services to over 10,500 Pin codes while handling more than 12 million shipments every month.

DTDC Express Limited also has a significant global footprint and services 240 international locations including USA, UK, Canada, UAE, Hong Kong, Australia, China and all Asian countries, through its own operations, joint ventures and business associates. A key part of the success of DTDC’s network is the contribution of its people. It comprises of a family of 35,000 people including employees, franchisees and their associates who are committed to its spirit of service."
155,SBI Life Insurance Compa...,3.9,1.1k,Public,Mumbai + 258 more,20 years old,10000+ employees,"Banking/Insurance/Accounting, Financial Services",SBI Life is one of the leading Life Insurance companies in India. We are a joint venture between India’s largest bank State Bank of India and the leading global insurance company BNP Paribas Cardif.
156,Future Retail,4.2,1.1k,Public,Mumbai + 135 more,33 years old,10000+ employees,"Consumer goods, Retail, Fashion/Accessories, Conglomerate, Fortune500","Future Retail operates some of India’s most popular retail chains that inspires trust through innovative offerings, quality products and affordable prices that help customers achieve a better quality of life every day. We serve millions of customers in more than 400 cities in every state of the country through digital platforms and over 1500 stores that cover over 16 million square feet of retail space.

Big Bazaar, our flagship chain is regularly ranked among the most trusted retail brands in the country. Our small store neighborhood retail chains, EasyDay Club and Heritage Fresh operates closer to the home of customers and offers member-customers a range of services."
157,Hexaware Technologies,3.5,1.1k,Public,Mumbai + 12 more,30 years old,10000+ employees,"BPO/KPO, Consulting, IT/ITES, Fortune500, MNC","Hexaware is a fast growing automation-led next-generation service provider delivering excellence in IT, BPO and Consulting services. We are driven by a combination of robust strategies, passionate teams and a global culture rooted in innovation and automation. 

Hexaware’s Digital offerings have helped clients achieve operational excellence and customer delight. Our focus lies on taking a leadership position in helping clients attain customer intimacy as their competitive advantage. We are now on a journey of metamorphosing the experiences of the customer’s customers by leveraging our industry-leading delivery and execution model, built around the strategy— ‘Automate Everything TM ,Cloudify Everything TM, Transform Customer Experiences TM”. Powering Hexaware’s complex technology solutions and services, is the Bottom-Up Disruption, a disruptive crowdsourcing initiative that brings about innovation and improvement, to everyday complexities and, ultimately, growing the clients’ business.

The digitally empowered workforce of Hexaware represents various nationalities, comprising 19,062 employees, lives the company’s philosophy of ‘customer success, first and always’. The company reported 2018 global revenue of USD $677.7 Mn.

Exciting isn’t? Follow Hexaware to get a glimpse of technology disruptions and exciting digital transformations on the horizon."
158,Reliance Life Insurance,3.8,1.1k,Private,Mumbai + 275 more,19 years old,10000+ employees,"Banking/Insurance/Accounting, Financial Services","Reliance Nippon Life Insurance Company is a part of Reliance Capital , one of India's leading private sector financial services companies, which ranks among the top private sector financial services and non-banking companies, in terms of net worth. Reliance Capital has interests in asset management and mutual funds, stock broking, life & general insurance, proprietary investments, private equity and other activities in financial services.
Reliance Nippon Life Insurance Company is amongst the leading private sector life insurance companies in India in terms of individual WRP (weighted received premium) and new business WRP. The company is one of the largest non-bank supported private life insurers with over 10 million policyholders, a strong distribution network of 727 branches and more than 55,492 advisors as on March 31, 2019"
159,CMS IT Services,3.2,1.1k,Private,Bengaluru + 86 more,44 years old,5001-10000 employees,"Manufacturing, Retail, Textile/Apparel","As one of India’s top IT services firms, CMS IT services has support infrastructure spread across 30 branches and 220 direct support locations in India. CMS IT provides complete solutions to large corporations across all sectors, including banking, insurance, retail, telecom and manufacturing.

CMS IT provides new, cost-effective and cutting-edge IT infrastructure solutions that are reliable, resilient and responsive.

CMS IT Managed Services includes high quality, end-to-end IT infrastructure solutions to cost-effectively manage your IT operations efficiently. CMS IT Asset Management Services provides innovative technology support solutions.

CMS IT Support Services ensures that the functioning of your systems is optimized with end user support and data center management. CMS IT System Integration Services includes cutting edge solutions to install and integrate hardware and software to manage complex IT implementation projects successfully"
160,ABB Group,4.2,1.1k,Public,Zurich + 67 more,32 years old,10000+ employees,"Manufacturing, Electronics, Fortune500, MNC","ABB (ABBN: SIX Swiss Ex) is a pioneering technology leader with a comprehensive offering for digital industries. With a history of innovation spanning more than 130 years, ABB is today a leader in digital industries with four customer-focused, globally leading businesses: Electrification, Industrial Automation, Motion, and Robotics & Discrete Automation, supported by its common ABB Ability™ digital platform. ABB's market-leading Power Grids business will be divested to Hitachi in 2020. ABB operates in more than 100 countries with about 147,000 employees."
161,John Deere,4.4,1.1k,Private,Moline + 59 more,183 years old,10000+ employees,"Machinery / Equipment, Manufacturing, MNC","Deere & Company is a world leader in providing advanced products and services and is committed to the success of customers whose work is linked to the land - those who cultivate, harvest, transform, enrich and build upon the land to meet the world's dramatically increasing need for food, fuel, shelter and infrastructure. Since 1837, John Deere has delivered innovative products of superior quality built on a tradition of integrity."
162,Fortis Healthcare,4.1,1.1k,Public,Gurugram + 43 more,19 years old,10000+ employees,"Healthcare/Pharma, Fortune500","Fortis Healthcare Limited is a leading integrated healthcare delivery service provider in India. The healthcare verticals of the company primarily comprise hospitals, diagnostics and day care specialty facilities. Currently, the company operates its healthcare delivery services in India, Dubai and Sri Lanka with 43 healthcare facilities (including projects under development), approximately 9,000 potential beds and over 400 diagnostics centres.

In a global study of the 30 most technologically advanced hospitals in the world, its flagship, the Fortis Memorial Research Institute’ (FMRI), was ranked No.2, by ‘topmastersinhealthcare.com, and placed ahead of many other outstanding medical institutions in the world."
163,State Street Syntel,3.8,1.1k,Private,Mumbai + 5 more,40 years old,10000+ employees,IT/ITES,"Syntel is a leading global provider of Information Technology and Knowledge Processing services. We help global enterprises evolve their core IT applications, infrastructure and business processes by leveraging intelligent automation, scaled agile development and cloud computing solutions. Our digital services enable clients to engage their customers, discover new insights, and create more connected enterprises.  Since our inception in 1980, we have been a trusted partner that clients rely on to deliver the skills, insight and guidance to propel their businesses forward."
164,CBRE,4.2,1.1k,Private,Los Angeles + 31 more,114 years old,10000+ employees,Real Estate,"CBRE Group, Inc. (NYSE:CBRE), a Fortune 500 and S&P 500 company headquartered in Los Angeles, is the world’s largest commercial real estate services and investment firm (based on 2017 revenue). The company has more than 80,000 employees (excluding affiliates) and serves real estate investors and occupiers through more than 450 offices (excluding affiliates) worldwide. 

CBRE offers a broad range of integrated services, including facilities, transaction and project management; property management; investment management; appraisal and valuation; property leasing; strategic consulting; property sales; mortgage services and development services."
165,Ipca Laboratories,4.0,1.1k,Public,Mumbai + 75 more,71 years old,10000+ employees,"Healthcare/Pharma, MNC, Fortune500","For more than 60 years, Ipca has been partnering healthcare globally in over 110 countries and in markets as diverse as Africa, Asia, Australia, Europe and the US. Ipca is a fully-integrated Indian pharmaceutical company manufacturing over 350 formulations and 80 APIs for various therapeutic segments. We are one of the world's largest manufacturers and suppliers of over a dozen APIs. These are produced right from the basic stage at manufacturing facilities inspected by the world's most discerning drug regulatory authorities like US-FDA, UK-MHRA, EDQM-Europe, WHO-Geneva and many more. Ipca is a therapy leader in India for anti-malarials with a market-share of over 34% with a fast expanding presence in the international market as well. We also lead in DMARDs (Disease Modifying Anti-Rheumatic Drugs) treatment for rheumatoid arthritis. We have leading brands in 5 therapeutic areas, with 4 of our branded formulations being ranked among the Top-300 Indian brands by ORG-IMS."
166,TAFE - Tractors and Farm...,4.2,1.1k,Public,Chennai + 86 more,60 years old,5001-10000 employees,"Automobile, Manufacturing, Transportation, MNC, Fortune500","TAFE – Tractors and Farm Equipment Limited, is an Indian tractor major incorporated in 1960 at Chennai, with an annual turnover of INR 93 billion (2014-15). The third-largest tractor manufacturer in the world and the second largest in India by volumes, TAFE wields about 25% market share of the Indian tractor industry with a sale of over 150,000 tractors (domestic and international) annually. 

TAFE's partnership with AGCO Corporation and the Massey Ferguson brand for over 58 years is a stellar example of its commitment to building long-term relationships with its stakeholders, through fair and ethical business practices. TAFE is also a significant shareholder in AGCO Corporation, USA – a US $9.4 billion tractor and agricultural equipment manufacturer. 

TAFE has earned the trust of customers through its range of products that are widely acclaimed for quality and low cost of operation. A strong distribution network of over 1000 dealers effectively backs TAFE’s four iconic tractor brands – Massey Ferguson, TAFE, Eicher and the recently acquired Serbian tractor and agricultural equipment brand IMT – Industrija Mašina i Traktora. TAFE exports tractors, both in partnership with AGCO and independently, powering farms in over 100 countries which include developed countries in Europe and the Americas. 

Besides tractors, TAFE and its subsidiaries have diverse business interests in areas such as farm-machinery, Diesel engines and gensets, agro engines, engineering plastics, gears and transmission components, batteries, hydraulic pumps and cylinders, vehicle franchises and plantations."
167,Glenmark Pharmaceuticals,4.1,1.1k,Public,Mumbai + 72 more,43 years old,10000+ employees,"Healthcare/Pharma, Fortune500","Glenmark was founded with a vision to emerge as a leading integrated research-based, global pharmaceutical company. Over the decades, we have established ourselves as a leading player in the discovery of new molecules both NCEs (New Chemical Entity) and NBEs (New Biological Entity). We have several molecules in various stages of pre-clinical and clinical development and are primarily focused in the areas of Oncology, Respiratory and Dermatology.
Our branded generics business has a significant presence in markets across emerging economies including India.

The generics business services the requirements of developed markets like US and Western Europe. Our API business sells products in over 80 countries including the US, various countries in the EU, South America and India."
168,BNY Mellon,3.9,1.1k,Private,New York + 4 more,236 years old,10000+ employees,Financial Services,"BNY Mellon is an investments company. We provide investment management, investment services and wealth management that help institutions and individuals succeed in markets all over the world. For over 100 years, BNY Mellon has maintained a valued presence in Asia Pacific, where we have been one of the first U.S. financial institutions to invest in the region’s vast potential. Today, we have approximately 14,000 employees in the region and maintain extensive operations in 17 locations."
169,Life Insurance Corporati...,4.4,1.1k,Private,Mumbai + 252 more,64 years old,10000+ employees,"Banking/Insurance/Accounting, Financial Services, Government","Every day we wake up to the fact that more than 250 million lives are part of our family called LIC.

We are humbled by the magnitude of the responsibility we carry and realise the lives that are associated with us are very valuable indeed.

Though this journey started over six decades ago, we are still conscious of the fact that, while insurance may be a business for us, being part of millions of lives every day for the past 61 years has been a process called TRUST."
170,Cholamandalam Investment...,4.2,1.1k,Private,Chennai + 285 more,42 years old,10000+ employees,"Banking/Insurance/Accounting, Financial Services, Fortune500","Cholamandalam Investment and Finance Company Limited (Chola), incorporated in 1978 as the financial services arm of the Murugappa Group. Chola commenced business as an equipment financing company and has today emerged as a comprehensive financial services provider offering vehicle finance, home loans, home equity loans, SME loans, investment advisory services, stock broking and a variety of other financial services to customers.

Chola operates from 1029 branches across India with assets under management above INR 59,292 Crores. The subsidiaries of Chola are Cholamandalam Securities Limited (CSEC) and Cholamandalam Home Finance Limited (CHFL)."
171,SBI Cards & Payment Serv...,4.0,1.1k,Private,Gurugram + 134 more,22 years old,1001-5000 employees,Financial Services,"SBI Card was launched in October 1998 by the State Bank of India and GE Capital. Incorporated as SBI Cards and Payment Services Private Limited (SBICPSL), SBI Card is headquartered in Gurgaon, Haryana.

In December 2017, State Bank of India and The Carlyle Group acquired GE Capital`s stake in the joint venture. SBI holds 74% while Carlyle holds 26% in the joint venture..

The legal name of SBI Card was changed on 20 August ’19, from SBI Cards and Payment Services Private Limited to SBI Cards and Payment Services Limited, on account of its conversion from a “Private Limited” company to a “Public Limited” company.

The aim of SBI Card is to offer Indian consumers access to a wide range of world-class, value-added payment products and services. Our endeavor is to simplify the lives of our customers, employees and other important stakeholders.

Our innovative products and services along with our responsible corporate citizenship practices form the framework of delivering on this promise.

Within a short span of 10 months, we achieved a credit card customer base of 1 lakh. We entered the '1Million Card Club’ in 2002 and crossed the 2 million card base in 2005.

Today, with over 7 million credit card customers, we are the second largest credit card issuer in the country."
172,Kec International,4.3,1.1k,Public,Mumbai + 114 more,75 years old,5001-10000 employees,"Machinery / Equipment, Manufacturing, Fortune500","KEC International Limited, headquartered in Mumbai, India, is the flagship company of the RPG Group. An Engineering, Procurement, and Construction (EPC) major, we have delivered several iconic infrastructure projects in more than 100 countries. The Company is delivering projects in key sectors such as Power Transmission & Distribution, Railways, Civil, Solar, Smart Infra, and Cables.

We have robust and integrated capabilities spanning the entire spectrum of ‘concept to commissioning’. Our unmatched expertise across EPC is aided by a strong, customer centric approach, quest for world-class quality, and ‘safety-first’ attitude. We have unrivalled expertise in manufacturing and testing, with a footprint extending across India, Brazil and Mexico. Our vast global presence has enabled a robust and agile supply chain that extends across six continents. Integrity in our actions and respect for people, environment and all our stakeholders are the cornerstones of our corporate responsibility.

Experienced professionals from 29 diverse nationalities are successfully executing complex projects across some of the world’s most difficult terrains and local conditions with unparalleled success."
173,Standard Chartered Bank,4.0,1k,Private,London + 48 more,51 years old,10000+ employees,"Banking/Insurance/Accounting, Financial Services, Fortune500, MNC","We offer banking services that help people and companies to succeed, creating wealth and growth across our markets. Our heritage and values are expressed in our brand promise – Here for good.

With more than 86,000 employees and a presence in 60 markets, our network serves customers in close to 150 markets worldwide. We're listed on the London and Hong Kong Stock Exchanges as well as the Bombay and National Stock Exchanges in India."
174,VE Commercial Vehicles,4.1,1k,Private,Gurugram + 62 more,12 years old,10000+ employees,"Automobile, Manufacturing","VE Commercial Vehicles Limited is a joint venture between the Volvo Group (Volvo) and Eicher Motors Limited (EML).  It is a partnership that brings together Global leadership in technology, quality, safety and environmental care, along with the deep knowledge and understanding of the Indian Commercial Vehicle (CV) market. VE Commercial Vehicles Limited. (VECV) owes its inception to the compelling intent of driving modernization in commercial transportation, in India and other developing markets."
175,Dewan Housing Finance Co...,4.4,1k,Public,Mumbai + 160 more,36 years old,1001-5000 employees,"Financial Services, Fortune500","For over three decades, DHFL has been providing easy access to affordable Housing Finance to realise home-ownership aspirations of millions of Lower and Middle income families in semi-urban and rural India. DHFL was established in 1984 with this goal, by a visionary leader Late Shri Rajesh Kumar Wadhawan. He observed that most Indians were unable to buy their dream home and committed himself to transforming the lives of Indian households by enabling access to home ownership through the inception of DHFL.

Led by Chairman & Managing Director, Mr. Kapil Wadhawan, DHFL has strengthened its position as one of India’s leading housing finance companies and has been benchmarked as a model and a pioneer for expanding financial inclusion across India.

Home ownership is all about ‘trust’. DHFL is your ‘trusted partner’ bringing confidence and transparency to every relationship -- helping you make the right decisions and hand holding you through the entire home purchase process. Our purpose-driven team is enthusiastic and committed towards fulfilling your dream. DHFL is rated CARE AA+ and achieved BWR FAA+ from Brickwork Ratings, which indicate the high degree of safety regarding timely servicing of financial obligations."
176,Eureka Forbes,4.0,1k,Private,Mumbai + 118 more,38 years old,10000+ employees,"Consumer goods, Manufacturing","Eureka Forbes Limited is India’s leading health and hygiene brand. It is a multi-product, multi-channel organization with a gross group turnover of Rs. 20,351 million for the year ending 31st March 2015. A part of Shapoorji Pallonji Group, Eureka Forbes’ product portfolio encompasses water purification, vacuum cleaning, air purification and home security solutions. It has a base of 15 mn happy customers, a reach of over 1,500 cities and towns in India and a global footprint across 53 countries."
177,Bel,4.4,1k,Private,Bangalore + 18 more,66 years old,10000+ employees,"Airlines/Aviation/Aerospace, Defence, Manufacturing, MNC, Fortune500, Government","In 1954, in a newly independent India, the need was utmost to develop indigenous industry. The dream of a self-reliant India gave birth to many Public Sector Undertakings. Bharat Electronics Limited (BEL) was one such dream, which has come a long way since then with the far-sighted vision of its pioneers, the dedication and hard work of its employees, support and faith of its customers and the Government of India. The Government’s clarion call for ‘Make in India’ resonates with what BEL has been successfully doing for over 6 decades.

From humble beginnings in 1954, when BEL was set up in association with CSF, France (now, Thales), to manufacture basic communication equipment, BEL now produces a wide range of state-of-the-art equipment in fields such as Defence Communication, Radars, Naval Systems, C4I Systems, Weapon Systems, Homeland Security, Telecom & Broadcast Systems, Electronic Warfare, Tank Electronics, Electro Optics, Professional Electronic Components and Solar Photovoltaic Systems, BEL also provides turnkey system solutions. Civilian products from BEL include Electronic Voting Machines, Tablet PC, solar-powered traffic signal systems and Access Control Systems.

Starting from a single Unit in Jalahalli, Bangalore, BEL has established its presence across the country by setting up eight other Units – in Ghaziabad, Pune, Machilipatnam, Panchkula, Kotdwara, Navi Mumbai, Chennai and Hyderabad. Each Unit has a specific product mix and customer focus. BEL has also set up a wide network of offices and service centres countrywide as well as two overseas offices – at New York and Singapore.

BEL was established to meet the specialized electronic equipment requirements of the Indian Defence Services. While this continues to be its prime focus, the Company has a significant presence in the civilian market, too. BEL exports some of its products and services to a number of countries as well."
